Name,Price,Date,Parked_At
tradesumo.com,"3,576",USD,2021-11-04,NamePull.com
novoinsurance.com,"6,093",USD,2021-11-04,NamePull.com
gelmatrix.com,"4,333",USD,2021-11-04,NamePull.com
vancouverseo.com,"4,611",USD,2021-11-04,BuyDomains
lucidminds.com,"9,177",USD,2021-11-04,BuyDomains
justap.com,"9,446",USD,2021-11-04,GoDaddy
localleadgen.com,012,USD,2021-11-04,GoDaddy
kolage.com,026,USD,2021-11-04,GoDaddy
enterprisedirect.com,676,USD,2021-11-04,GoDaddy
zvlv.com,847,USD,2021-11-04,Sedo
microcomputer.org,826,USD,2021-11-04,Flippa
domainexperts.com,"81,916",USD,2021-11-03,GoDaddy
bolt.net,"89,111",USD,2021-11-03,GoDaddy
oregongardenresort.com,"5,368",USD,2021-11-03,GoDaddy
traditionsofthesun.org,"7,577",USD,2021-11-03,GoDaddy
studentedge.com,"7,766",USD,2021-11-03,DropCatch
tokenscope.com,"7,166",USD,2021-11-03,Domaincracy
pandi.com,"0,222",USD,2021-11-03,NameJet
bestkidsapps.com,"1,734",USD,2021-11-03,GoDaddy
spare.io,"1,644",USD,2021-11-03,Park.io
powerfi.com,"1,625",USD,2021-11-03,GoDaddy
metaconcepts.com,"3,555",USD,2021-11-03,BuyDomains
sqdr.com,"3,556",USD,2021-11-03,Sedo
peky.com,"3,855",USD,2021-11-03,BuyDomains
affiliatecash.com,"2,011",USD,2021-11-03,GoDaddy
topnow.com,"9,480",USD,2021-11-03,GoDaddy
traderportal.com,"9,555",USD,2021-11-03,BuyDomains
bidver.com,"9,516",USD,2021-11-03,Sedo
mindhackers.com,"9,716",USD,2021-11-03,GoDaddy
greeniq.com,"9,037",USD,2021-11-03,GoDaddy
protoverse.com,"6,888",USD,2021-11-03,NameJet
qacademy.com,"6,757",USD,2021-11-03,NameJet
67h.com,"6,311",USD,2021-11-03,GoDaddy
nft.bio,"6,628",USD,2021-11-03,Dynadot
creditcollections.com,"6,687",USD,2021-11-03,GoDaddy
metaseries.com,"6,611",USD,2021-11-03,BuyDomains
mowi.net,"6,970",USD,2021-11-03,BuyDomains
jobbit.com,"6,186",USD,2021-11-03,GoDaddy
easybook.app,"9,000",USD,2021-11-03,TOP.DOMAINS
osmp.com,"9,231",USD,2021-11-03,DropCatch
dailynft.com,"9,215",USD,2021-11-03,GoDaddy
resultsdigital.com,"9,200",USD,2021-11-03,GoDaddy
sarahcarter.com,"9,227",USD,2021-11-03,DropCatch
urbanmodern.com,"9,264",USD,2021-11-03,GoDaddy
cbdcorp.com,"9,602",USD,2021-11-03,GoDaddy
uwellness.com,"9,607",USD,2021-11-03,GoDaddy
swapcloud.com,"9,667",USD,2021-11-03,GoDaddy
santamonicabikeshare.com,"9,646",USD,2021-11-03,GoDaddy
bodysocial.com,"9,677",USD,2021-11-03,BuyDomains
envavo.com,"9,677",USD,2021-11-03,GoDaddy
sourcingsystems.com,"9,344",USD,2021-11-03,BuyDomains
ucollect.com,"9,726",USD,2021-11-03,NameJet
unfilteredfacts.com,"9,688",USD,2021-11-03,BuyDomains
silkstream.com,"9,624",USD,2021-11-03,GoDaddy
modernloop.com,"9,633",USD,2021-11-03,GoDaddy
miamiboat.com,"9,122",USD,2021-11-03,GoDaddy
truenorthmarketing.com,"9,126",USD,2021-11-03,GoDaddy
cfactoronto.com,"9,113",USD,2021-11-03,GoDaddy
1stserve.com,"9,141",USD,2021-11-03,GoDaddy
citrans.com,"9,981",USD,2021-11-03,GoDaddy
smackd.com,"7,755",USD,2021-11-03,GoDaddy
studioindigo.com,"7,735",USD,2021-11-03,GoDaddy
berlitz-blog.com,"7,733",USD,2021-11-03,GoDaddy
cryptodate.com,"7,780",USD,2021-11-03,GoDaddy
webeast.com,"7,715",USD,2021-11-03,GoDaddy
proparnaiba.com,"7,713",USD,2021-11-03,GoDaddy
eim.net,"7,777",USD,2021-11-03,NameJet
endlesssummit.com,"7,499",USD,2021-11-03,BuyDomains
fomoex.com,"7,454",USD,2021-11-03,DropCatch
twxx.com,"7,446",USD,2021-11-03,GoDaddy
beginpower.com,"9,444",USD,2021-11-03,GoDaddy
prepaidcall.com,554,USD,2021-11-03,GoDaddy
gosenior.com,585,USD,2021-11-03,GoDaddy
antibite.com,586,USD,2021-11-03,GoDaddy
thejoyfulfoodie.com,500,USD,2021-11-03,DropCatch
blog.center,503,USD,2021-11-03,Sav.com
inksigns.com,571,USD,2021-11-03,GoDaddy
auto95.org,545,USD,2021-11-03,GoDaddy
imgenius.com,545,USD,2021-11-03,GoDaddy
mypodcasts.com,543,USD,2021-11-03,GoDaddy
lv.tv,377,USD,2021-11-03,Dynadot
bnbcash.com,137,USD,2021-11-03,GoDaddy
greensec.com,113,USD,2021-11-03,DropCatch
buildventures.com,118,USD,2021-11-03,NameJet
homeinfinity.com,107,USD,2021-11-03,GoDaddy
apideveloper.com,154,USD,2021-11-03,GoDaddy
olsx.com,147,USD,2021-11-03,GoDaddy
website4u.com,197,USD,2021-11-03,DropCatch
ukrha.org,197,USD,2021-11-03,GoDaddy
betterbit.com,171,USD,2021-11-03,DropCatch
ultrahardware.com,179,USD,2021-11-03,GoDaddy
enerfuel.com,033,USD,2021-11-03,GoDaddy
cvmp01.site,031,USD,2021-11-03,Dynadot
roclab.com,011,USD,2021-11-03,GoDaddy
vp888.com,018,USD,2021-11-03,GoDaddy
consent.ai,014,USD,2021-11-03,Whois.ai
dao.cash,027,USD,2021-11-03,Sav.com
ngmdomain.com,067,USD,2021-11-03,GoDaddy
bangkokmodels.com,056,USD,2021-11-03,GoDaddy
brewer.io,040,USD,2021-11-03,Park.io
